,accuracy,precision,recall,f1
TF-IDF,0.8894,0.8829600778967868,0.8997817027187934,0.8912915274228425
Word2Vec,0.8598,0.853449951409135,0.8714030561619369,0.8623330714846819
Combined,0.8887,0.8841487279843444,0.8966064695376067,0.8903340230564587
