,accuracy,precision,recall,f1
TF-IDF,0.8894,0.8829600778967868,0.8997817027187934,0.8912915274228425
Word2Vec,0.8733,0.8711137347500983,0.8785473308196071,0.8748147416263216
Combined,0.8949,0.8925196850393701,0.8997817027187934,0.8961359818163851
