,accuracy,precision,recall,f1
TF-IDF,0.8547,0.8557539682539682,0.8559237944036515,0.8558388729040579
Word2Vec,0.7698,0.776856160226583,0.7620559634848184,0.7693848928070527
Combined,0.8518,0.8485204781501078,0.8592974796586624,0.8538749753500295
