,accuracy,precision,recall,f1
TF-IDF,0.8547,0.8557539682539682,0.8559237944036515,0.8558388729040579
Word2Vec,0.7399,0.7392072213500785,0.7475689620956539,0.743364578194376
Combined,0.8494,0.846440478525201,0.8565191506251241,0.8514499901361214
