,accuracy,precision,recall,f1
TF-IDF,0.8919,0.8839736127279783,0.9041476483429252,0.8939468262533111
Word2Vec,0.8578,0.8528780487804878,0.8674340146854534,0.8600944510035419
Combined,0.8895,0.8829828660436138,0.8999801547926176,0.8914004914004914
