,accuracy,precision,recall,f1
TF-IDF,0.8919,0.8839736127279783,0.9041476483429252,0.8939468262533111
Word2Vec,0.8743,0.8720975993703266,0.8795395911887279,0.8758027862859402
Combined,0.8944,0.890873405299313,0.9007739630879142,0.8957963291888692
